<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SANDP-500,D,20010711,000000,1181.5400000,1184.8800000,1168.4600000,1180.1800000,0
SANDP-500,D,20010712,000000,1187.5500000,1210.2200000,1187.5500000,1208.1400000,0
SANDP-500,D,20010713,000000,1208.1400000,1218.5200000,1203.7300000,1215.6800000,0
SANDP-500,D,20010714,000000,1215.3900000,1215.6800000,1215.3900000,1215.6800000,0
SANDP-500,D,20010716,000000,1215.6800000,1219.5500000,1211.9400000,1214.9200000,0
SANDP-500,D,20010717,000000,1202.4500000,1215.2600000,1196.1700000,1214.4400000,0
SANDP-500,D,20010718,000000,1214.4400000,1214.4400000,1198.3800000,1207.7100000,0
SANDP-500,D,20010719,000000,1210.6800000,1219.4500000,1210.6800000,1219.2000000,0
SANDP-500,D,20010720,000000,1215.0200000,1215.6600000,1207.0600000,1210.8500000,0
SANDP-500,D,20010721,000000,1210.7200000,1210.8600000,1210.7200000,1210.8500000,0
SANDP-500,D,20010723,000000,1210.8500000,1215.1900000,1190.5500000,1191.0300000,0
SANDP-500,D,20010724,000000,1190.1400000,1190.1400000,1165.6600000,1167.3000000,0
SANDP-500,D,20010725,000000,1171.6500000,1190.5100000,1171.2800000,1190.4900000,0
SANDP-500,D,20010726,000000,1189.9500000,1204.1200000,1182.6700000,1202.9300000,0
SANDP-500,D,20010727,000000,1202.5500000,1209.2200000,1196.0000000,1205.8200000,0
SANDP-500,D,20010728,000000,1205.8200000,1205.8200000,1205.8200000,1205.8200000,0
SANDP-500,D,20010730,000000,1206.5300000,1209.0100000,1200.4500000,1204.5200000,0
SANDP-500,D,20010731,000000,1205.3500000,1222.7100000,1205.3200000,1211.2300000,0
SANDP-500,D,20010801,000000,1211.2300000,1222.9700000,1211.2300000,1215.9300000,0
SANDP-500,D,20010802,000000,1225.9600000,1226.2500000,1215.3200000,1220.7500000,0
SANDP-500,D,20010803,000000,1220.4200000,1220.7500000,1220.4200000,1220.7500000,0
SANDP-500,D,20010806,000000,1214.3400000,1214.3400000,1197.3400000,1200.4700000,0
SANDP-500,D,20010807,000000,1200.4700000,1207.5600000,1195.6400000,1204.4100000,0
SANDP-500,D,20010808,000000,1203.0200000,1206.7900000,1181.2700000,1183.5200000,0
SANDP-500,D,20010809,000000,1179.7400000,1184.7100000,1174.6800000,1183.4200000,0
SANDP-500,D,20010810,000000,1182.7000000,1184.5900000,1182.7000000,1183.4600000,0
SANDP-500,D,20010813,000000,1190.1600000,1193.8100000,1185.1300000,1191.2900000,0
SANDP-500,D,20010814,000000,1191.2900000,1198.7500000,1184.2600000,1186.7300000,0
SANDP-500,D,20010815,000000,1186.7300000,1191.1300000,1177.6400000,1178.0200000,0
SANDP-500,D,20010816,000000,1178.0200000,1181.7400000,1166.1500000,1181.6600000,0
SANDP-500,D,20010817,000000,1181.6600000,1181.6600000,1156.0800000,1161.9700000,0
SANDP-500,D,20010818,000000,1161.0600000,1161.9800000,1161.0600000,1161.9700000,0
SANDP-500,D,20010819,000000,1161.9700000,1161.9700000,1161.9700000,1161.9700000,0
SANDP-500,D,20010820,000000,1161.9700000,1171.4000000,1160.9800000,1171.4000000,0
SANDP-500,D,20010821,000000,1171.4800000,1179.8400000,1156.5600000,1157.2700000,0
SANDP-500,D,20010822,000000,1156.5600000,1157.2700000,1156.5600000,1157.2700000,0
SANDP-500,D,20010823,000000,1165.3100000,1169.8500000,1160.9600000,1162.0200000,0
SANDP-500,D,20010824,000000,1162.0800000,1185.1500000,1162.0800000,1184.9200000,0
SANDP-500,D,20010825,000000,1184.9000000,1184.9800000,1184.9000000,1184.9200000,0
