<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.XRB,D,20060530,000000,2.2795000,2.2650000,2.2075000,2.2551000,0
NYMEX.XRB,D,20060531,000000,2.2500000,2.3150000,2.2375000,2.2746000,0
NYMEX.XRB,D,20060601,000000,2.2950000,2.3650000,2.2950000,2.3625000,0
NYMEX.XRB,D,20060604,000000,2.3900000,2.3800000,2.3350000,2.3367000,0
NYMEX.XRB,D,20060605,000000,2.3464000,2.3464000,2.3464000,2.3464000,0
NYMEX.XRB,D,20060606,000000,2.2625000,2.2625000,2.2560000,2.2560000,0
NYMEX.XRB,D,20060607,000000,2.2625000,2.2900000,2.2175000,2.2787000,0
NYMEX.XRB,D,20060608,000000,2.2800000,2.3125000,2.2600000,2.3053000,0
NYMEX.XRB,D,20060611,000000,2.2550000,2.2550000,2.2550000,2.2550000,0
NYMEX.XRB,D,20060612,000000,2.1775000,2.1775000,2.1660000,2.1660000,0
NYMEX.XRB,D,20060613,000000,2.1822000,2.1822000,2.1822000,2.1822000,0
NYMEX.XRB,D,20060614,000000,2.1921000,2.2100000,2.1921000,2.2100000,0
NYMEX.XRB,D,20060615,000000,2.1980000,2.2100000,2.1500000,2.2048000,0
NYMEX.XRB,D,20060618,000000,2.1950000,2.1950000,2.1500000,2.1637000,0
NYMEX.XRB,D,20060619,000000,2.1535000,2.1800000,2.1650000,2.1668000,0
NYMEX.XRB,D,20060620,000000,2.1550000,2.2375000,2.1550000,2.2100000,0
NYMEX.XRB,D,20060621,000000,2.2302000,2.2775000,2.2125000,2.2752000,0
NYMEX.XRB,D,20060622,000000,2.2800000,2.3000000,2.2600000,2.3000000,0
NYMEX.XRB,D,20060625,000000,2.2950000,2.3450000,2.2940000,2.3433000,0
NYMEX.XRB,D,20060626,000000,2.3450000,2.3500000,2.3250000,2.3325000,0
NYMEX.XRB,D,20060627,000000,2.3125000,2.3250000,2.2850000,2.3150000,0
NYMEX.XRB,D,20060628,000000,2.3330000,2.3775000,2.3450000,2.3675000,0
NYMEX.XRB,D,20060629,000000,2.3800000,2.3900000,2.3800000,2.3800000,0
NYMEX.XRB,D,20060702,000000,2.3845000,2.4450000,2.3900000,2.4125000,0
NYMEX.XRB,D,20060705,000000,2.4060000,2.4075000,2.3600000,2.4055000,0
NYMEX.XRB,D,20060706,000000,2.3900000,2.4125000,2.3750000,2.3800000,0
NYMEX.XRB,D,20060709,000000,2.3575000,2.3575000,2.3000000,2.3049000,0
NYMEX.XRB,D,20060710,000000,2.2920000,2.3300000,2.3050000,2.3150000,0
NYMEX.XRB,D,20060711,000000,2.3100000,2.3800000,2.3125000,2.3675000,0
NYMEX.XRB,D,20060712,000000,2.3675000,2.4050000,2.3580000,2.3856000,0
NYMEX.XRB,D,20060713,000000,2.4285000,2.4350000,2.3950000,2.4200000,0
NYMEX.XRB,D,20060716,000000,2.4212000,2.4375000,2.3990000,2.3990000,0
NYMEX.XRB,D,20060717,000000,2.3990000,2.4400000,2.3625000,2.3669000,0
NYMEX.XRB,D,20060718,000000,2.3781000,2.3821000,2.3225000,2.3327000,0
NYMEX.XRB,D,20060719,000000,2.3530000,2.3750000,2.3500000,2.3586000,0
NYMEX.XRB,D,20060720,000000,2.3580000,2.4300000,2.3750000,2.4200000,0
NYMEX.XRB,D,20060723,000000,2.4250000,2.4425000,2.4000000,2.4193000,0
NYMEX.XRB,D,20060724,000000,2.4420000,2.4300000,2.3650000,2.3900000,0
NYMEX.XRB,D,20060725,000000,2.3855000,2.3925000,2.3650000,2.3800000,0
NYMEX.XRB,D,20060726,000000,2.3490000,2.3705000,2.3375000,2.3525000,0
NYMEX.XRB,D,20060727,000000,2.3465000,2.3200000,2.2800000,2.3000000,0
NYMEX.XRB,D,20060730,000000,2.2957000,2.3300000,2.2900000,2.2950000,0
NYMEX.XRB,D,20060731,000000,2.3150000,2.3800000,2.3350000,2.3675000,0
NYMEX.XRB,D,20060801,000000,2.3801000,2.4200000,2.3724000,2.4100000,0
NYMEX.XRB,D,20060802,000000,2.4100000,2.3675000,2.3300000,2.3700000,0
NYMEX.XRB,D,20060803,000000,2.3567000,2.3350000,2.2900000,2.3205000,0
NYMEX.XRB,D,20060806,000000,2.3250000,2.3250000,2.3250000,2.3250000,0
NYMEX.XRB,D,20060807,000000,2.3240000,2.3250000,2.2600000,2.2820000,0
NYMEX.XRB,D,20060808,000000,2.2700000,2.2800000,2.1800000,2.2100000,0
NYMEX.XRB,D,20060809,000000,2.2030000,2.2030000,2.0600000,2.0650000,0
NYMEX.XRB,D,20060810,000000,2.0900000,2.1400000,2.0700000,2.1324000,0
NYMEX.XRB,D,20060813,000000,2.0900000,2.0970000,2.0200000,2.0470000,0
NYMEX.XRB,D,20060814,000000,2.0450000,2.0900000,2.0450000,2.0692000,0
NYMEX.XRB,D,20060815,000000,2.0650000,2.0800000,2.0180000,2.0225000,0
NYMEX.XRB,D,20060816,000000,2.0150000,2.0207000,1.9525000,1.9750000,0
NYMEX.XRB,D,20060817,000000,1.9835000,2.0100000,1.9600000,1.9850000,0
NYMEX.XRB,D,20060820,000000,1.9990000,2.0151000,1.9575000,1.9783000,0
NYMEX.XRB,D,20060821,000000,1.9783000,1.9900000,1.9500000,1.9760000,0
NYMEX.XRB,D,20060822,000000,1.9696000,1.9696000,1.8600000,1.8855000,0
NYMEX.XRB,D,20060823,000000,1.8740000,1.8925000,1.8500000,1.8608000,0
NYMEX.XRB,D,20060824,000000,1.8950000,1.9150000,1.8900000,1.9090000,0
NYMEX.XRB,D,20060827,000000,1.8725000,1.8725000,1.7650000,1.7750000,0
NYMEX.XRB,D,20060828,000000,1.7725000,1.8050000,1.7525000,1.7890000,0
NYMEX.XRB,D,20060829,000000,1.7886000,1.8475000,1.7700000,1.8424000,0
NYMEX.XRB,D,20060830,000000,1.8400000,1.8500000,1.7825000,1.8050000,0
NYMEX.XRB,D,20060831,000000,1.8050000,1.8050000,1.7700000,1.7842000,0
NYMEX.XRB,D,20060903,000000,1.7600000,1.7600000,1.7479000,1.7515000,0
NYMEX.XRB,D,20060904,000000,1.7600000,1.7650000,1.6700000,1.7000000,0
NYMEX.XRB,D,20060905,000000,1.7021000,1.7175000,1.6750000,1.6790000,0
NYMEX.XRB,D,20060906,000000,1.6940000,1.6940000,1.6700000,1.6841000,0
NYMEX.XRB,D,20060907,000000,1.6841000,1.6880000,1.6350000,1.6423000,0
NYMEX.XRB,D,20060910,000000,1.6525000,1.6750000,1.6125000,1.6250000,0
NYMEX.XRB,D,20060911,000000,1.6340000,1.6516000,1.5900000,1.6050000,0
NYMEX.XRB,D,20060912,000000,1.6040000,1.6270000,1.5900000,1.6125000,0
NYMEX.XRB,D,20060913,000000,1.6110000,1.6200000,1.5850000,1.6060000,0
NYMEX.XRB,D,20060914,000000,1.6345000,1.6400000,1.5875000,1.6150000,0
NYMEX.XRB,D,20060917,000000,1.6370000,1.6550000,1.5923000,1.6270000,0
NYMEX.XRB,D,20060918,000000,1.6225000,1.6300000,1.5200000,1.5400000,0
NYMEX.XRB,D,20060919,000000,1.5483000,1.5483000,1.4900000,1.4950000,0
NYMEX.XRB,D,20060920,000000,1.5100000,1.5385000,1.4850000,1.5385000,0
NYMEX.XRB,D,20060921,000000,1.5360000,1.5500000,1.5050000,1.5199000,0
NYMEX.XRB,D,20060924,000000,1.5100000,1.5500000,1.4800000,1.5150000,0
NYMEX.XRB,D,20060925,000000,1.5448000,1.5732000,1.5350000,1.5480000,0
NYMEX.XRB,D,20060926,000000,1.5515000,1.5900000,1.5150000,1.5800000,0
NYMEX.XRB,D,20060927,000000,1.5834000,1.6070000,1.5600000,1.5715000,0
NYMEX.XRB,D,20060928,000000,1.5755000,1.6015000,1.5475000,1.6015000,0
NYMEX.XRB,D,20061001,000000,1.5970000,1.5970000,1.5350000,1.5430000,0
NYMEX.XRB,D,20061002,000000,1.5450000,1.5460000,1.4850000,1.4980000,0
NYMEX.XRB,D,20061003,000000,1.4920000,1.5400000,1.4800000,1.5375000,0
NYMEX.XRB,D,20061004,000000,1.5440000,1.5725000,1.5200000,1.5435000,0
NYMEX.XRB,D,20061005,000000,1.5450000,1.5460000,1.4937000,1.5302000,0
NYMEX.XRB,D,20061008,000000,1.5350000,1.5650000,1.5100000,1.5150000,0
NYMEX.XRB,D,20061009,000000,1.5100000,1.5418000,1.4850000,1.4929000,0
NYMEX.XRB,D,20061010,000000,1.4930000,1.5150000,1.4700000,1.4770000,0
NYMEX.XRB,D,20061011,000000,1.4755000,1.5050000,1.4700000,1.5025000,0
NYMEX.XRB,D,20061012,000000,1.4970000,1.5300000,1.4950000,1.5181000,0
NYMEX.XRB,D,20061015,000000,1.5215000,1.5475000,1.4950000,1.5400000,0
NYMEX.XRB,D,20061016,000000,1.5404000,1.5500000,1.4816000,1.5175000,0
NYMEX.XRB,D,20061017,000000,1.5350000,1.5500000,1.4878000,1.4975000,0
NYMEX.XRB,D,20061018,000000,1.5000000,1.5480000,1.4900000,1.5250000,0
NYMEX.XRB,D,20061019,000000,1.5300000,1.5350000,1.4975000,1.5094000,0
NYMEX.XRB,D,20061022,000000,1.5100000,1.5100000,1.4750000,1.5055000,0
NYMEX.XRB,D,20061023,000000,1.4995000,1.5450000,1.4945000,1.5290000,0
NYMEX.XRB,D,20061024,000000,1.5400000,1.5900000,1.5314000,1.5889000,0
NYMEX.XRB,D,20061025,000000,1.5990000,1.6015000,1.5433000,1.5558000,0
NYMEX.XRB,D,20061026,000000,1.5550000,1.5750000,1.5450000,1.5733000,0
NYMEX.XRB,D,20061030,000000,1.5690000,1.5690000,1.4800000,1.4890000,0
NYMEX.XRB,D,20061031,000000,1.4871000,1.4935000,1.4425000,1.4898000,0
NYMEX.XRB,D,20061101,000000,1.4888000,1.5100000,1.4550000,1.4910000,0
NYMEX.XRB,D,20061102,000000,1.4920000,1.5000000,1.4550000,1.4750000,0
NYMEX.XRB,D,20061103,000000,1.4791000,1.5400000,1.4740000,1.5257000,0
NYMEX.XRB,D,20061106,000000,1.5272000,1.5650000,1.5110000,1.5450000,0
NYMEX.XRB,D,20061107,000000,1.5400000,1.5500000,1.5275000,1.5400000,0
NYMEX.XRB,D,20061108,000000,1.5400000,1.5890000,1.5340000,1.5800000,0
NYMEX.XRB,D,20061109,000000,1.5800000,1.6200000,1.5800000,1.6010000,0
NYMEX.XRB,D,20061110,000000,1.6000000,1.6013000,1.5548000,1.5622000,0
NYMEX.XRB,D,20061113,000000,1.5600000,1.5675000,1.5250000,1.5460000,0
NYMEX.XRB,D,20061114,000000,1.5465000,1.5625000,1.5420000,1.5600000,0
NYMEX.XRB,D,20061115,000000,1.5645000,1.6032000,1.5558000,1.5947000,0
NYMEX.XRB,D,20061116,000000,1.5934000,1.6270000,1.5245000,1.5411000,0
NYMEX.XRB,D,20061117,000000,1.5410000,1.5525000,1.5000000,1.5450000,0
NYMEX.XRB,D,20061120,000000,1.5350000,1.5684000,1.5324000,1.5670000,0
NYMEX.XRB,D,20061121,000000,1.5695000,1.6450000,1.5680000,1.6380000,0
NYMEX.XRB,D,20061122,000000,1.6395000,1.6400000,1.5800000,1.5967000,0
NYMEX.XRB,D,20061127,000000,1.6150000,1.6165000,1.5870000,1.6040000,0
NYMEX.XRB,D,20061128,000000,1.6040000,1.6400000,1.6010000,1.6319000,0
NYMEX.XRB,D,20061129,000000,1.6341000,1.7005000,1.6330000,1.6945000,0
NYMEX.XRB,D,20061130,000000,1.6950000,1.7120000,1.6825000,1.6960000,0
NYMEX.XRB,D,20061201,000000,1.6950000,1.7100000,1.6775000,1.7021000,0
